image,label,size,width,height,mode,format
0998.jpg,painting,17526,290,376,RGB,JPEG
i - 510.jpeg,sculpture,13852,180,320,RGB,JPEG
i - 1420.jpeg,sculpture,24510,480,282,RGB,JPEG
1248.jpg,painting,17526,290,376,RGB,JPEG
242.jpg,iconography,272536,1000,596,RGB,JPEG
0009.jpg,painting,7134,290,384,RGB,JPEG
665.jpg,iconography,102955,441,541,RGB,JPEG
i - 103.jpeg,drawings,20752,220,320,RGB,JPEG
2038.jpg,painting,11480,290,320,RGB,JPEG
i - 1000.jpeg,iconography,21323,214,320,RGB,JPEG
94.jpg,iconography,97490,364,486,RGB,JPEG
i - 638.jpeg,sculpture,24361,480,285,RGB,JPEG
i - 1471.jpeg,sculpture,6506,213,320,RGB,JPEG
i - 1181.jpeg,sculpture,23191,480,270,RGB,JPEG
i - 629.jpeg,sculpture,8905,246,320,RGB,JPEG
62.jpg,sculpture,38718,506,730,RGB,JPEG
i - 313.jpeg,iconography,24907,427,320,RGB,JPEG
i - 912.jpeg,sculpture,34916,480,320,RGB,JPEG
i - 81.jpeg,engraving,31832,233,320,RGB,JPEG
214.jpg,iconography,74351,397,500,RGB,JPEG
i - 421.jpeg,iconography,33941,273,320,RGB,JPEG
i - 1479.jpeg,sculpture,13134,264,320,RGB,JPEG
i - 497.jpeg,engraving,42158,430,320,RGB,JPEG
i - 431.jpeg,drawings,35703,455,320,RGB,JPEG
i - 210.jpeg,drawings,58600,480,278,RGB,JPEG
270.jpg,iconography,62579,488,697,RGB,JPEG
0790.jpg,painting,11693,290,226,RGB,JPEG
2314.jpg,painting,14272,290,365,RGB,JPEG
i - 378.jpeg,drawings,17658,200,320,RGB,JPEG
i - 1.jpeg,iconography,19025,321,320,RGB,JPEG
i - 1124.jpeg,drawings,37785,454,320,RGB,JPEG
432.jpg,iconography,105210,640,794,RGB,JPEG
i - 933.jpeg,drawings,13092,222,320,RGB,JPEG
i - 407.jpeg,engraving,31069,300,298,RGB,JPEG
0697.jpg,painting,10540,290,244,RGB,JPEG
i - 533.jpeg,iconography,22936,245,320,RGB,JPEG
221.jpg,engraving,142779,979,345,RGB,JPEG
